tcpdump: WARNING: any: That device doesn't support promiscuous mode
(Promiscuous mode not supported on the "any" device)
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on any, link-type LINUX_SLL2 (Linux cooked v2), snapshot length 262144 bytes
03:00:17.360553 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.360553 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.361187 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.362066 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.365282 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.368156 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.368988 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.368988 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.369613 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.371053 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.371053 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.373949 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.373949 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.373949 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 193
03:00:17.861568 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:17.863658 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:17.863658 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:17.865867 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:17.865867 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 190
03:00:17.868806 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 193
03:00:17.868807 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 193
03:00:17.879965 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 190
03:00:17.879966 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:17.879966 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.369169 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 193
03:00:18.369170 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.372113 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:18.372113 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.372113 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:18.869698 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 192
03:00:18.870477 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.871108 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882413 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882414 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882414 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882414 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882414 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882414 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882415 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882415 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
03:00:18.882941 enp0s3 In  IP 192.168.56.2.514 > 192.168.56.119.514: SYSLOG syslog.alert, length: 194
